tweet_id,timestamp,tweet_text,all_hashtags,user_id,username,user_profile_description,followers_count
1330119004904624128,2020-11-21 12:00:57,Do you know a publisher? We are trying to find the best and most economical way to publish our book to reach as many kids as possible. Please contact us if you may know someone interested in working with us.  https://t.co/Te6acfcvMS  #endofyeargoals #donatelife #transplant #sbs https://t.co/ogiGeNBXn8,"['endofyeargoals', 'donatelife', 'transplant', 'sbs']",1258065197324959744,TxUnwrapped,Nonprofit for Intestinal and Multivisceral Transplant Education.,16
1330118750457257987,2020-11-21 11:59:57,GET YOUR HOLIDAY SPIRIT ON WHATEVER YOURS LOOKS LIKE. I STARTED DECORATING YESTERDAY BECAUSE I'M NOT WAITING FOR ANYTHING ANYMORE. #donatelife https://t.co/BwvUb0RCqq,['donatelife'],587502947,roxannewatson74,"Heart Transplant Recipient signing over 11,000 for Organ Donation.  WomenHeart Champion,  NYS Woman of Distinction, Donate Life Ambassador, WRCR Radio show Host",1803
1330098472566009856,2020-11-21 10:39:22,My beautiful daughter’s life was waning in July this year. I had sat with her through over 100 dialysis sessions.  Then her Independence Day came. Her life began again with a kidney/pancreas transplant. We are forever thankful to her donor&amp;family. #DonateLife #ThankYouDay2020,"['DonateLife', 'ThankYouDay2020']",2877754405,sjholyoak,Participant Observer,18
1330073620236918790,2020-11-21 09:00:37,Don't forget tomorrow is DonateLife Thank You Day! How are you saying thanks?   Make sure you tag @DonateLifeToday on any of your thank you activities and use the hashtags #DonateLife and #Thankyouday2020 https://t.co/a1eryFQHDV,"['DonateLife', 'Thankyouday2020']",37796974,DonateLifeToday,Register today — it only takes a minute! Talk to your family & friends. Tell them you want to donate. https://t.co/QX6vxp6j9Z  Posts by the Organ and Tissue Authority.,6465
1330066217906925568,2020-11-21 08:31:12,"Australia's first intestinal transplant recipient says thanks ahead of DonateLife ThankYou Day tomorrow -- ""Thank you seems insignificant"" @9NewsWesternVIC #DonateLife #ThankYouDay2020 https://t.co/TL82NnB1Qx via @FacebookWatch","['DonateLife', 'ThankYouDay2020']",37796974,DonateLifeToday,Register today — it only takes a minute! Talk to your family & friends. Tell them you want to donate. https://t.co/QX6vxp6j9Z  Posts by the Organ and Tissue Authority.,6465
1330019989978484739,2020-11-21 05:27:30,#DonateLife  You have *no idea* what this means for a family until it’s your own. https://t.co/TTRkh2iEci,['DonateLife'],16808335,corylav,"Sports editor for North State Journal, Carolina Hurricanes beat writer & member of the @ThePHWA. (https://t.co/x584cyAQjb) Elevate The Conversation",4459
1329945573659713537,2020-11-21 00:31:48,Registration deadline for our #EyeDonationMonth Trivia Contest is tonight at Midnight! Test your #DonateLife &amp; Pop Culture knowledge... and have some F-U-N with us! 💚💙Link to register 👉🏻 👉🏻 https://t.co/w7qMxWDgZ4 https://t.co/x2sXYwr563,"['EyeDonationMonth', 'DonateLife']",2370997566,donatelifetexas,"Saving lives is fast and easy when you sign up as an organ, eye & tissue donor with Donate Life Texas.",1447
1329937466854309888,2020-11-20 23:59:35,"Sunrise at 10,000 feet! ☁️☀️🙏🏻  ‘Tis the Season to Give! I challenge YOU to take a selfie at https://t.co/KepsQBdCFC and share a Big Red Bow with #BeTheGift. #donatelife #supportopos #thankful https://t.co/Dl02Gx9CGr","['BeTheGift', 'donatelife', 'supportopos', 'thankful']",7712752,LStephensPR,Content strategist | Sunny day enthusiast | Perpetual optimist at @DVLSeigenthaler @FinnPartners,276
1329929846445780997,2020-11-20 23:29:18,"Third time this year, there is still a dangerous shortage! #donatelife @NYBloodCenter https://t.co/qeZfr2RE85",['donatelife'],63369789,THOMASAEGAN,,221
1329926261859299329,2020-11-20 23:15:04,"Can we please get a round of applause for the Blacksmith’s Annual Ride for Life?! This year, they safely fundraised over $8,600 to support our #DonateLife awareness programs. THANK YOU to everyone who supported this virtual ride!  @seacoastharley @iHeartRadio @MorningBuzzNH https://t.co/gE57p7yuSj",['DonateLife'],67629654,DLNewEngland,New England Donor Services’ public education and awareness efforts for organ and tissue donation. #DonateLife Contact your US Reps here https://t.co/PfLSJnthb4,2832
1329925229007802373,2020-11-20 23:10:58,"#Repost from @unosnews: “Please help keep immunosuppressed recipients (and others) safe by wearing a mask! 😷 #wearamask #transplantawareness #donatelife #donevida” Thanks for the reminder @donatelifenewengland, @lifecentercincy 💙💚” https://t.co/2QD2NKXL0N","['Repost', 'wearamask', 'transplantawareness', 'donatelife', 'donevida']",46383887,LifeCenterCincy,"To Save, Enhance and Change Lives Through Organ and Tissue Donation",4397
1329911441067962370,2020-11-20 22:16:10,UK: Aberdeenshire mum looking forward to life again after ‘miracle drug’ offers new hope  Click image below and GET THE FULL STORY on #TransplantNews!  Please Share &gt;&gt;&gt;&gt;  .#DonateLife #GiftOfLife #LungTransplant  https://t.co/J2PkOGrQlj,"['TransplantNews', 'DonateLife', 'GiftOfLife', 'LungTransplant']",878354340804796416,transplantnews,"Transplant News brings you the news stories, articles and content that matter to the transplant community.",52
1329893881878507520,2020-11-20 21:06:24,I urge everyone to consider being an organ donor - you never know whose life you may save. #donatelife #unos https://t.co/FbUJjTgUiK,"['donatelife', 'unos']",927966966077362176,DrNannanT,Urologist @UHuroCLE @Caseurology specializing in #Menshealth #maleinfertility and #sexualdysfunction . Views my own.,493
1329892695364558848,2020-11-20 21:01:41,"Thank you @IngramParkMall &amp; @LaPlazaMall for hosting the Giving Tree! Join us for our virtual event honoring donors on Thursday, Dec. 10. #DonateLife https://t.co/SJuest5hUd",['DonateLife'],201284068,TxOrganSharing,Saving lives through the power of organ donation.,1795
1329891743391756288,2020-11-20 20:57:54,THAT'S WHAT I'M TALKIN' ABOUT !!  #donatelife in style.... https://t.co/5EbnuRbQb4,['donatelife'],164381354,Crockito,,350
1329886108277219330,2020-11-20 20:35:30,This week marks the 5-year anniversary of the #HOPEAct implementation – allowing for organs from HIV+ donors to be transplanted to HIV+ recipients. This aptly named initiative truly brings hope to those with HIV who are in need of a life-saving transplant. #DonateLife #Hope https://t.co/zqkZtWHcSm,"['HOPEAct', 'DonateLife', 'Hope']",120129135,COREDonateLife,"CORE is a non-profit dedicated to promoting donation, education and research of organ & tissue transplantation.",2250
1329877650928787460,2020-11-20 20:01:54,DYK you can enroll as an organ donor on https://t.co/urZJtt812J ? Register today and #Donatelife https://t.co/qFlNeJNCHQ @DLNewEngland https://t.co/IWDbBFW3IO,['Donatelife'],3355518797,MassRMV,"Official Twitter account of the Massachusetts Registry of Motor Vehicles. Tweets are monitored during normal business hours, M-F 9am-5pm.",10110
1329875663331807232,2020-11-20 19:54:00,Chesapeake teen receives life-saving kidney transplant  Click image below and GET THE FULL STORY on #TransplantNews!  Please Share &gt;&gt;&gt;&gt;  .#DonateLife #GiftOfLife #LiverTransplant #PediatricLiverTransplant #PediatricTransplant  https://t.co/mFp0NZ49Lw,"['TransplantNews', 'DonateLife', 'GiftOfLife', 'LiverTransplant', 'PediatricLiverTransplant', 'PediatricTransplant']",878354340804796416,transplantnews,"Transplant News brings you the news stories, articles and content that matter to the transplant community.",52
1329872697174618113,2020-11-20 19:42:13,This week is the 5th anniversary of the HOPE Act implementation -- allowing for organs from donors with HIV to be transplanted into recipients with HIV. Thank you to ALL donors &amp; medical professionals who give so generously to save lives &amp; give HOPE! #HOPEAct #donatelife https://t.co/RDSMwNEDUR,"['HOPEAct', 'donatelife']",17526317,donatelifenw,"Visit our website to register as an organ, eye and tissue donor in Oregon!  Also, find free educational resources and programs.",2021
1329866183638614016,2020-11-20 19:16:20,Such a blessing!  #DonateLife 🤲🏻❤️ https://t.co/i4mxXxFACN,['DonateLife'],1098950709901373440,uofutransplant,University of Utah Transplantation & Advanced Hepatobiliary Surgery,109
1329853919476977672,2020-11-20 18:27:36,"Join us @DonateLife &amp; @UNOSNews on Dec 17 at 5:00pm ET for a National #TreeofLife virtual event! Together we will celebrate life, honor the gift &amp; remember the lifesaving generosity of organ, eye &amp; tissue donors &amp; donor families. #DonateLife 💙💚 https://t.co/GWubdlG5as https://t.co/cwkrLv9wnP","['TreeofLife', 'DonateLife']",246944672,DonateLife,"National non-profit organization committed to increasing the number of donated organs, eye and tissue available to save and heal lives. #DonateLife",12959
1329850716576485376,2020-11-20 18:14:52,Thank you to @UNOSNews for offering a webinar for patients on the new #kidney &amp; #pancreas allocation policy! Registration info is in the link for the Monday December 23 webinar. #DonateLife https://t.co/GNRPdferXt,"['kidney', 'pancreas', 'DonateLife']",246944672,DonateLife,"National non-profit organization committed to increasing the number of donated organs, eye and tissue available to save and heal lives. #DonateLife",12959
1329848814484729856,2020-11-20 18:07:19,"Join us and @DonateLife on Dec 17 at 5:00 pm ET for a National #TreeofLife virtual event! Together we will celebrate life, honor the gift &amp; remember the lifesaving generosity of organ, eye, &amp; tissue donors &amp; donor families. 💙💚#DonateLife  Event Details: https://t.co/hyXJJiFZjC https://t.co/CTMWVgEuWJ","['TreeofLife', 'DonateLife']",24713778,UNOSNews,United Network for Organ Sharing is the non-profit organization that manages the U.S. transplant system under contract with the federal government.,10763
1329847464409452545,2020-11-20 18:01:57,"Thanks for the #follow @living_donor @TheBiebz23 @AlexandreLoupy 💚 Together, let's spread the word that Organ Donation works!  #organdonation #save8 #becauseofadonor #DonateLife https://t.co/3ryejA0Wqx","['follow', 'organdonation', 'save8', 'becauseofadonor', 'DonateLife']",1244746085676888066,2ndCTR_Society,We raise awareness through education & events to support transplant recipients who are given a 2nd chance. Help us spread the word that organ donation works! 💚,153
1329835422650798081,2020-11-20 17:14:06,"#Wyoming, let's join our friends at @DonateLifeCO in sharing how donation has impacted your life. #giftoflife #DonateLife #CheckYes https://t.co/AbZvVKhsng","['Wyoming', 'giftoflife', 'DonateLife', 'CheckYes']",90464293,DonateLifeWY,"Informing & inspiring Wyomingites to save lives by registering as organ, eye & tissue donors at driver's services or online. #DonateLife #Wyoming #CheckYes!",2040
1329832408246603779,2020-11-20 17:02:07,Did you know you can dedicate a rose to be included on the #DonateLife Rose Parade Float? Rose dedications make for meaningful gifts and tokens of appreciation for the healthcare heroes in your life. (Ends 12/1) #DonateLifeFloat #CommunityofLife  🌹🔗: https://t.co/o68Rr6Oy44,"['DonateLife', 'DonateLifeFloat', 'CommunityofLife']",3405845091,NEDS_LIFE,We save and enhance lives through organ and tissue donation. Contact your US Reps to #SupportOPOs here: https://t.co/syXEeWssut,441
1329832408234008577,2020-11-20 17:02:07,Did you know you can dedicate a rose to be included on the #DonateLife Rose Parade Float? Rose dedications make for meaningful gifts and tokens of appreciation for the healthcare heroes in your life. (Ends 12/1) #DonateLifeFloat #CommunityofLife  🌹🔗: https://t.co/G30Otx9A4u,"['DonateLife', 'DonateLifeFloat', 'CommunityofLife']",67629654,DLNewEngland,New England Donor Services’ public education and awareness efforts for organ and tissue donation. #DonateLife Contact your US Reps here https://t.co/PfLSJnthb4,2832
1329809002822242306,2020-11-20 15:29:07,#DonateLife #hopeis #KidneyHealth #TransplantsSaveLives #Transplant  We need this! https://t.co/jnovSLV7K1,"['DonateLife', 'hopeis', 'KidneyHealth', 'TransplantsSaveLives', 'Transplant']",100213907,ChellyB71,"CKD since 1980 3rd kidney TX 3/19/19.  She/Her, GenX, light gamer, twitch lurker @ m3ch3ll3_71 #DonateLife ♻️ #hopeis 💜 #MasksOn 😷",1059
1329805298123542530,2020-11-20 15:14:24,Italian Police's Huracan delivers kidney to hospital 300 miles away in just two hours. #DonateLife https://t.co/jT4se3OLcQ,['DonateLife'],14284726,calebc,probably hungry,995
1329801681362591744,2020-11-20 15:00:02,"Look around.  Half of the people around you right now will either need blood or know someone who will at some point in their life, but only 1 in 60 are regular blood donors.  Don't wait for another reason.  Book now at https://t.co/JpW2qQ2rOl  #donatelife #Beadonor #Peterborough https://t.co/tokvpi7QHR","['donatelife', 'Beadonor', 'Peterborough']",827186809012682752,LifelinePtbo,"Regional account for @CanadasLifeline in Peterborough, ON.",426
1329795342372663306,2020-11-20 14:34:50,"Giving Tuesday is almost here!  Your gifts will go towards COVID relief, better internet and technology, and microgrants to cover college expenses for our scholars. Click here and make an impact today: https://t.co/PytAhNVclu #GivingTuesday #DPGives #donate #DonateLife https://t.co/gSkVUJtmBi","['GivingTuesday', 'DPGives', 'donate', 'DonateLife']",57412831,DemocracyPrep,"DPPS is a network of free K-12 public schools preparing our citizen-scholars to work hard, go to college, & change the world! Come Visit! http://t.co/Uz6TPfMz",5847
1329793737686274048,2020-11-20 14:28:28,"#BeABetterYou Donating an organ doesn’t make you incomplete so be someone’s hope to live, complete someone to be a better you!   Take a pledge, call us on: 9011032370  #organ #donation #DonateLife #savelives #OrganDonationAwareness #OrgandDonationSavesLives https://t.co/VhKVxFrljG","['BeABetterYou', 'organ', 'donation', 'DonateLife', 'savelives', 'OrganDonationAwareness', 'OrgandDonationSavesLives']",894146455304261632,igiftlife,Organ Donation NGO | Awareness,29
1329788186050981890,2020-11-20 14:06:24,Donate that blood!  #DonateLife https://t.co/ujDfDejhEA,['DonateLife'],501060027,Justweeterin,"Jedi In Training, Factual Coherentist, Humanist, Ill w/ Boneitis, Fact Checker², I follow the science.  Climate/Nature/Science/Tech/Political Junkie",336
1329777780775641088,2020-11-20 13:25:03,Transplant Unwrapped is ready to start distributing educational materials to help spread awareness for this patient and caregiver population. We need your help! Donate today! https://t.co/kSTd1eCpjV  #givingtuesday #endofyeargoals #donatelife #transplant #sbs https://t.co/Zth9YhrHLp,"['givingtuesday', 'endofyeargoals', 'donatelife', 'transplant', 'sbs']",1258065197324959744,TxUnwrapped,Nonprofit for Intestinal and Multivisceral Transplant Education.,16
1329771474933194755,2020-11-20 13:00:00,"Ward and Lydia Kimball have a goal to sign up 4,444 people to #DonateLife in memory of their son, Evan, who donated in 2015. They are already halfway there!  For their dedication they have received the 2020 Gift of Life Volunteer Donation Champion Award. https://t.co/2EK20Uz5yP",['DonateLife'],36354279,GiftofLifeMich,Core Purpose: We honor life through donation. We've been saving and healing lives through organ and tissue donation in Michigan since 1971. #DonateLife,4031
1329756940419952644,2020-11-20 12:02:14,Pls register with @DKMS_uk https://t.co/KEfZhrwjAg &amp; save a life. Stem cell collection painless &amp; undersubscribed #DonateLife #DonateBlood,"['DonateLife', 'DonateBlood']",64972934,Craig_Alderson,"Campaigning for bone marrow donation to save my sons life. Editor of #F1 blog @theJudge13 #TJ13. Graphic designer, motorsport, rugby & cricket fan.",580
1329747892656025600,2020-11-20 11:26:17,Today is a good day to have a good day 💚 #DonateLife,['DonateLife'],2895626640,samanthaecook,"Blessed momma to Alyssa and Jeffrey ER RN, TCRN, CEN                         Living kidney donor 💚 us66h@yahoo.com",400
1329662899955007488,2020-11-20 05:48:33,Sisters devastated by transplant failure look for second chance  Click image below and GET THE FULL STORY on #TransplantNews!  Please Share &gt;&gt;&gt;&gt;  .#DonateLife #GiftOfLife #KidneyTransplant  https://t.co/XMvYEPJH2b,"['TransplantNews', 'DonateLife', 'GiftOfLife', 'KidneyTransplant']",878354340804796416,transplantnews,"Transplant News brings you the news stories, articles and content that matter to the transplant community.",52
1329654487942795264,2020-11-20 05:15:08,"Stanley is just like any other child, but a rare metabolic condition meant he needed a liver transplant. Stanley’s parents are forever grateful for the procedure that saved his life. And encourage more people to register to be a donor. More tonight on @WINNews_Gip #DonateLife https://t.co/mRipgHDYaE",['DonateLife'],836404732704935937,rubycairns1,News Reporter @WINNews_Gip Send any stories/tips to: cairnsr@winnetwork.com.au,159
1329638166689579008,2020-11-20 04:10:17,A team of researchers at @UQ_News are working on a world-first treatment for transplant recipients to prevent skin cancer! Amazing #DonateLife   MEDICAL MARVEL https://t.co/j8idPnaFIO via @FacebookWatch,['DonateLife'],37796974,DonateLifeToday,Register today — it only takes a minute! Talk to your family & friends. Tell them you want to donate. https://t.co/QX6vxp6j9Z  Posts by the Organ and Tissue Authority.,6465
1329623642225987585,2020-11-20 03:12:34,"As a transplant recipient family, we thank everyone who makes the generous decision to become an organ donor. #DonateLife https://t.co/me0qAzHjLs",['DonateLife'],33892179,amyrogerswrite,"Journalist, most often dishing about food and culture at NPR station @WFAE. Writer. Editor. #Binders. Have spatula, will travel.",749
1329620555977396224,2020-11-20 03:00:18,The UCI Health Blood Donor Center - Orange is offering free #COVID19 antibody testing to those who donate blood or platelets. Donations are by appointment only. Make an appointment at https://t.co/uGbDPHyGqu  #coronavirus #donatebloodsavealife #donatelife #UCIHealth #OrangeCounty https://t.co/RDfYZQsj6E,"['COVID19', 'coronavirus', 'donatebloodsavealife', 'donatelife', 'UCIHealth', 'OrangeCounty']",292530523,UCIrvineHealth,Consistently ranked among California's best hospitals. Orange County's only academic health system and only NCI-designated comprehensive cancer center.,4158
